店舗名,電話番号,都道府県,市区町村,番地,建物名,webサイト,SSL証明書
厳選和牛 肉寿司 炭火焼鳥 食べ放題 完全個室 梅吉 梅田本店,06-6314-6614,大阪府,大阪市北区,堂山町16-14,2F,https://r.gnavi.co.jp/dpgbke1j0000/,True
全席個室 鮮や一夜品川駅前店,050-5484-9766,東京都,港区,港南2-6-9,DK品川ビル5～7F,https://r.gnavi.co.jp/g0kf3ubt0000/,True
串かつ 北新地 にし川,06-6346-5118,大阪府,大阪市北区,曽根崎新地1-2-24,ニューウメダビル2F,https://r.gnavi.co.jp/max2hsdn0000/,True
三海の華,050-5488-6431,北海道,札幌市中央区,南5条西4,富士会館ビル3F,https://r.gnavi.co.jp/h204601/,True
梅田 夜景 S dining阪急グランドビル店,050-5485-9282,大阪府,大阪市北区,角田町8-47,阪急グランドビル30F,https://r.gnavi.co.jp/k137335/,True
和食 個室居酒屋 北の夢祥 わびさび,050-5485-8386,北海道,札幌市中央区,南5条西3 1-12,第35佳和ビル4F,https://r.gnavi.co.jp/h083700/,True
プライベート個室 旬菜居酒屋 魚々ろ（ととろ）仙台一番町店,050-5487-4447,宮城県,仙台市青葉区,一番町4-2-4,2F,https://r.gnavi.co.jp/s4nre9kb0000/,True
ステーキハウス デボン北新地,050-5485-8027,大阪府,大阪市北区,曽根崎新地1-5-10,北新地地田ビル5F,https://r.gnavi.co.jp/k091300/,True
花様 ka－you 阪急梅田近江野菜自家栽培ファーム直送店,050-5486-7906,大阪府,大阪市北区,芝田1-7-2,阪急かっぱ横丁2F,https://r.gnavi.co.jp/k447404/,True
月の花,050-5484-1255,福岡県,福岡市中央区,天神1-15-14,高木ビル1F,https://r.gnavi.co.jp/f041700/,True
カニ食べ放題 武士道,011-590-5285,北海道,札幌市中央区,南4条西2-10-6,南4西2ビル 11F,https://r.gnavi.co.jp/mn61z9r90000/,True
個室 熟成肉と熟成魚 こなれ梅田店,050-5487-1649,大阪府,大阪市北区,角田町5-1,楽天地ビルB1,https://r.gnavi.co.jp/bzd40cs80000/,True
中国料理 孝華,050-5484-3710,北海道,札幌市中央区,南6条西2,札幌プリンス6．2ビル2F,https://r.gnavi.co.jp/h299600/,True
魚屋直営の北海道海鮮居酒屋魚勢 すすきの,050-5484-3697,北海道,札幌市中央区,南4条西5,第2観光会館1F,https://r.gnavi.co.jp/h132400/,True
食べ飲み放題中華 金の華大阪駅前第3ビル店,050-5494-8357,大阪府,大阪市北区,梅田1-1-3,大阪駅前第3ビルB2,https://r.gnavi.co.jp/mwmgbcpa0000/,True
串焼 黒松屋 渋谷店,050-5489-2787,東京都,渋谷区,宇田川町33-1,グランド東京渋谷ビル 3F,https://r.gnavi.co.jp/b6ch60rw0000/,True
炭火焼 若武者,050-5484-8363,北海道,札幌市中央区,南7条西4-2-14,ススキノ会館1F,https://r.gnavi.co.jp/r0yajkf80000/,True
さかなやのmaru寿司ルクア イーレ店,050-5485-0905,大阪府,大阪市北区,梅田3-1-3,ルクアイーレB2,https://r.gnavi.co.jp/s680fsza0000/,True
広島の地酒とご当地居酒屋獅魂［しこん］中新地,050-5485-8244,広島県,広島市中区,流川町1-7,セントラルゲート5ブロック,https://r.gnavi.co.jp/1s713pkh0000/,True
十方夷第 大蔵店,050-5492-7917,北海道,札幌市中央区,南5条西2-1-14,オークラビル3F,https://r.gnavi.co.jp/5jnx16v40000/,True
北新地鳥匠Ren,050-5484-1735,大阪府,大阪市北区,曽根崎新地1-10-1,エスパシオンYAMADAビル2F,https://r.gnavi.co.jp/k021906/,True
鳥真 横須賀中央店,050-5493-8825,神奈川県,横須賀市,若松町1-11-3,平成ビル2 1F,https://r.gnavi.co.jp/7cwy1ujr0000/,True
隠れ家個室居酒屋 道楽ぼうず札幌すすきの店,050-5485-0548,北海道,札幌市中央区,南4条西3-1-1,第三グリーンビル3F,https://r.gnavi.co.jp/ee3su7vg0000/,True
サムギョプサル食べ放題 豚まに,050-5486-3363,大阪府,大阪市北区,曾根崎2-5-20,お初天神ビル2・3F,https://r.gnavi.co.jp/rkv5xwyd0000/,True
海鮮と産地鶏の炭火焼き うお鶏 三島店,050-5486-2189,静岡県,三島市,一番町14-1,プラザビル一番3F,https://r.gnavi.co.jp/fzbkfkzs0000/,True
全席個室 ウメ子の家札幌駅前店,050-5485-9519,北海道,札幌市中央区,北4条西3-1-1,ＴＪ札幌駅前ビル(ティージェイサッポロエキマエビル)3F,https://r.gnavi.co.jp/h210301/,True
しゃぶしゃぶ すき焼きしゃぶ禅小倉店,050-5484-2153,福岡県,北九州市小倉北区,鍛冶町1-10-10,大同生命北九州ビル11F,https://r.gnavi.co.jp/f000302/,True
串喝酒場ちゃうちゃう,050-5484-4604,沖縄県,沖縄市,松本850,シャトレ平良1-A,https://r.gnavi.co.jp/42vm7f450000/,True
十方夷第 大蔵店,050-5492-7917,北海道,札幌市中央区,南5条西2-1-14,オークラビル3F,https://r.gnavi.co.jp/5jnx16v40000/,True
九州創作酒場 博多 笑門,050-5485-9339,福岡県,福岡市博多区,博多駅中央街6-2,1F,https://r.gnavi.co.jp/f524600/,True
30分飲み放題99円 亀山のジンギスカン,050-5484-1033,栃木県,小山市,駅東通り1-5-13,1F,https://r.gnavi.co.jp/dyyp9rcg0000/,True
北海あぶりやき運河倉庫,050-5492-4645,北海道,小樽市,港町5-4,澁澤倉庫,https://r.gnavi.co.jp/906pjp8a0000/,True
大衆串カツ酒場 ふみば,050-5494-5853,埼玉県,さいたま市南区,南浦和2-28-13,高砂ビル1F,https://r.gnavi.co.jp/mk32z1g60000/,True
石蔵朝日ビル店,050-5493-0922,福岡県,福岡市博多区,博多駅前2-1-1,福岡朝日ビルB2,https://r.gnavi.co.jp/cp3ad69f0000/,True
